qid1,qid2,pred1,pred2,gt1,gt2,q1score,q2score
1,2,img1,img1,img1,img2,0.693,0.648
3,4,img1,img2,img1,img2,0.564,0.3757
5,6,img2,img1,img1,img2,0.291,0.547
7,8,img2,img2,img1,img2,0.1755,0.1779
9,10,img1,img2,img1,img2,0.6333,0.4226
11,12,img1,img1,img1,img2,0.7983,0.7827
13,14,img2,img1,img1,img2,0.4111,0.5117
15,16,img1,img2,img1,img2,0.693,0.3503
17,18,img1,img1,img1,img2,0.699,0.7373
19,20,img1,img2,img1,img2,0.7744,0.4377
21,22,img1,img1,img1,img2,0.8613,0.85
23,24,img2,img2,img1,img2,0.4111,0.4111
25,26,img1,img1,img1,img2,0.6333,0.709
27,28,img1,img2,img1,img2,0.772,0.4922
29,30,img2,img2,img1,img2,0.1192,0.0888
31,32,img1,img1,img1,img2,0.7217,0.585
33,34,img1,img1,img1,img2,0.928,0.6826
35,36,img1,img1,img1,img2,0.8774,0.879
37,38,img1,img1,img1,img2,0.947,0.562
39,40,img1,img2,img1,img2,0.8823,0.231
41,42,img1,img1,img1,img2,0.9355,0.7373
43,44,img1,img1,img1,img2,0.8774,0.854
45,46,img2,img2,img1,img2,0.0786,0.05707
47,48,img2,img2,img1,img2,0.2422,0.2018
49,50,img1,img1,img1,img2,0.879,0.739
51,52,img1,img1,img1,img2,0.7534,0.5815
53,54,img2,img2,img1,img2,0.2783,0.2568
55,56,img1,img1,img1,img2,0.9185,0.755
57,58,img1,img2,img1,img2,0.596,0.4883
59,60,img2,img2,img1,img2,0.457,0.3208
61,62,img2,img2,img1,img2,0.3174,0.4148
63,64,img2,img2,img1,img2,0.331,0.1404
65,66,img1,img2,img1,img2,0.995,0.2173
67,68,img1,img2,img1,img2,0.615,0.457
69,70,img1,img2,img1,img2,0.566,0.2281
71,72,img1,img2,img1,img2,0.6113,0.0619
73,74,img1,img2,img1,img2,0.895,0.4766
75,76,img2,img2,img1,img2,0.4805,0.055
77,78,img2,img2,img1,img2,0.1082,0.1755
79,80,img1,img1,img1,img2,0.907,0.7373
81,82,img1,img1,img1,img2,0.9663,0.978
83,84,img1,img1,img1,img2,0.7295,0.752
85,86,img1,img1,img1,img2,0.8965,0.8916
87,88,img2,img2,img1,img2,0.385,0.3557
89,90,img1,img1,img1,img2,0.854,0.539
91,92,img1,img1,img1,img2,0.731,0.895
93,94,img1,img1,img1,img2,0.939,0.9136
